,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
3364,30320921.0,1.0,4.0,4.0,4.0,4.0,-1.0,4.0
3365,30321021.0,1.0,10.0,10.0,10.0,10.0,-1.0,2.0
3366,30321031.0,1.0,11.0,11.0,5.0,1.0,-1.0,2.0
3367,30321051.0,1.0,1.0,99.0,99.0,99.0,-1.0,2.0
3368,30321121.0,1.0,0.0,-1.0,2.0,14.0,-1.0,2.0
3369,30321131.0,1.0,30.0,30.0,20.0,10.0,-1.0,3.0
3370,30321141.0,1.0,10.0,10.0,8.0,10.0,-1.0,3.0
3371,30321216.0,1.0,20.0,20.0,6.0,8.0,-1.0,3.0
3372,30321241.0,1.0,6.0,6.0,10.0,1.0,-1.0,1.0
3373,30321256.0,1.0,10.0,10.0,10.0,10.0,-1.0,2.0
3374,30321261.0,1.0,2.0,2.0,3.0,12.0,-1.0,2.0
3375,30321296.0,1.0,2.0,-1.0,99.0,99.0,-1.0,2.0
3376,30321301.0,1.0,20.0,20.0,20.0,-1.0,-1.0,1.0
3377,30321336.0,1.0,6.0,6.0,10.0,6.0,-1.0,1.0
3378,30321341.0,1.0,20.0,20.0,1.0,5.0,-1.0,3.0
3379,30321456.0,1.0,2.0,2.0,6.0,3.0,-1.0,2.0
3380,30321471.0,1.0,7.0,7.0,7.0,7.0,-1.0,6.0
3381,30321476.0,1.0,5.0,-1.0,10.0,12.0,-1.0,1.0
3382,30321516.0,1.0,6.0,3.0,6.0,0.0,-1.0,1.0
3383,30321521.0,1.0,3.0,3.0,3.0,3.0,99.0,2.0
3384,30321536.0,1.0,8.0,8.0,2.0,-1.0,-1.0,1.0
3385,30321546.0,3.0,13.0,13.0,15.0,15.0,-1.0,2.0
3386,30321571.0,1.0,3.0,99.0,16.0,8.0,-1.0,2.0
3387,30321606.0,1.0,4.0,4.0,99.0,3.0,-1.0,1.0
3388,30321631.0,1.0,4.0,4.0,4.0,4.0,-1.0,4.0
3389,30321646.0,1.0,8.0,8.0,22.0,3.0,15.0,3.0
3390,30321651.0,1.0,10.0,10.0,10.0,10.0,-1.0,5.0
